,CBSA,Title,MetroMicro,Pop2018,COVIDEnd,AttackRate,r,dataset,remove_deaths,filtering
4287,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metropolitan Statistical Area,480891,46,0.21742520301077264,0.9570969625293505,1point3acres,False,None
4288,34860,"Nacogdoches, TX",Micropolitan Statistical Area,65711,2,,,1point3acres,False,None
4289,34900,"Napa, CA",Metropolitan Statistical Area,139417,14,,,1point3acres,False,None
4290,34940,"Naples-Marco Island, FL",Metropolitan Statistical Area,378488,127,0.2299609744406658,0.9799548071830433,1point3acres,False,None
4291,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,1905898,890,0.22179293506794054,0.9841272044148494,1point3acres,False,None
4292,35020,"Natchez, MS-LA",Micropolitan Statistical Area,50764,7,,,1point3acres,False,None
4293,35060,"Natchitoches, LA",Micropolitan Statistical Area,38659,2,,,1point3acres,False,None
4294,35100,"New Bern, NC",Metropolitan Statistical Area,125219,6,,,1point3acres,False,None
4295,35140,"Newberry, SC",Micropolitan Statistical Area,38520,2,,,1point3acres,False,None
4296,35220,"New Castle, IN",Micropolitan Statistical Area,48271,2,,,1point3acres,False,None
4297,35260,"New Castle, PA",Micropolitan Statistical Area,86184,10,,,1point3acres,False,None
4298,35300,"New Haven-Milford, CT",Metropolitan Statistical Area,857620,373,,,1point3acres,False,None
4299,35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,1270399,2755,0.2565577945373138,0.9691171712668553,1point3acres,False,None
4300,35420,"New Philadelphia-Dover, OH",Micropolitan Statistical Area,92176,7,,,1point3acres,False,None
4301,35440,"Newport, OR",Micropolitan Statistical Area,49388,1,,,1point3acres,False,None
4302,35460,"Newport, TN",Micropolitan Statistical Area,35774,1,,,1point3acres,False,None
4303,35580,"New Ulm, MN",Micropolitan Statistical Area,25111,0,,,1point3acres,False,None
4304,35620,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,19303808,75217,0.3240595860194821,0.9714480467000148,1point3acres,False,None
4305,35660,"Niles, MI",Metropolitan Statistical Area,154141,32,,,1point3acres,False,None
4306,35700,"Nogales, AZ",Micropolitan Statistical Area,46511,2,,,1point3acres,False,None
4307,35740,"Norfolk, NE",Micropolitan Statistical Area,48504,2,,,1point3acres,False,None
